Field=LibRef~String~LibRef~69|Field=Description~String~Description~44|Field=Designator~String~Designator~520|Field=Value~String~Value~66|Field=Dielectric~String~Dielectric~77|Field=DocumentNumber~String~DocumentNumber~80|Field=Model~String~Model~102|Field=Pitch~String~Pitch~20|Field=Quantity~Integer~Quantity~20|Field=Voltage~String~Voltage~20|Field=Working voltage~String~Working voltage~28|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~up_down_converter.PrjPcb|ReportField=ProjectFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb|ReportField=Title~BOM_PartType For Project [up_down_converter.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~802|ReportField=ReportTime~8:18:53 AM|ReportField=ReportDate~27/11/2018|ReportField=ReportDateTime~27/11/2018 8:18:53 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~19|ReportField=Time~|ReportField=Title~TOP|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~up_down_converter.PrjPcb|ReportField=DataSourceFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb
minicircuits_CBP-1820F+|Mini-Circuits band pass filter 1680-1960 MHz|BPF1, BPF5|||3, 18|||2||
Capacitor|Capacitor|C111_U_subckt_3V3_SMPS1, C111_U_subckt_3V3_SMPS2, C111_U_subckt_3V3_SMPS3, C111_U_subckt_3V3_SMPS4, C112_U_subckt_SMPS_EMI_filter1, C112_U_subckt_SMPS_EMI_filter2, C112_U_subckt_SMPS_EMI_filter3, C112_U_subckt_SMPS_EMI_filter4, C112_U_subckt_SMPS_EMI_filter5, C115_U_subckt_SMPS_EMI_filter1, C115_U_subckt_SMPS_EMI_filter2, C115_U_subckt_SMPS_EMI_filter3, C115_U_subckt_SMPS_EMI_filter4, C115_U_subckt_SMPS_EMI_filter5, C136, C143_U_subckt_LDO_EMI_filter1, C143_U_subckt_LDO_EMI_filter2, C146_U_subckt_LDO_EMI_filter1, C146_U_subckt_LDO_EMI_filter2|100nF|X5R|6, 6, 6, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9|||19||
Capacitor|Capacitor|C128, C159, C173|1uF|Y5V|3, 18, 17|||3||
Capacitor|Capacitor|C137|1uF|X5R|7|||1||
Capacitor|Capacitor|C140|10nF|NP0|7|||1||
Capacitor|Capacitor|C142|2.2uF|X5R|7|||1||
Capacitor|Capacitor|C183|22pF|NP0|16|GCM1555C1H220JA16||1||
Capacitor|Capacitor|C184|10nF|X7R|16|||1||
Capacitor|Capacitor|C?_Attenuator_HMC539ALP3_1, C?_Attenuator_HMC539ALP3_2, C?_Attenuator_HMC539ALP31, C?_Attenuator_HMC539ALP32|10pF|C0G|11|||4||
Capacitor|Capacitor|C?_Attenuator_HMC539ALP3_1, C?_Attenuator_HMC539ALP3_2, C?_Attenuator_HMC539ALP31, C?_Attenuator_HMC539ALP32|1nF|Y5V|11|||4||
Capacitor|Capacitor|C?_Attenuator_HMC539ALP3_1, C?_Attenuator_HMC539ALP3_2, C?_Attenuator_HMC539ALP31, C?_Attenuator_HMC539ALP32|33pF|C0G|11|||4||
Capacitor|Capacitor|C?_LNA_HMC8410_1, C?_LNA_HMC8410_2, C?_LNA_HMC84101, C?_LNA_HMC84102, C?_LNA_HMC84103|2.2uF|X7R|12|||5||
Capacitor|Capacitor|C?_LNA_HMC8410_1, C?_LNA_HMC8410_2, C?_LNA_HMC84101, C?_LNA_HMC84102, C?_LNA_HMC84103|4.7uF|X7R|12|||5||
D dual series diode|Dual series diode|D1, D15, D16, D17, D18|||4, 3, 18, 17, 16|BAT54SLT1||5||
D Zener|Zener Diode|D2|||2|MMBZ5245BLT1G||1||
D Zener|Zener Diode|D3|||2|SMF17ABR||1||
LED|LED|D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14|||2|WE 150060VS75000, WE 150060YS75000, WE 150060VS75000, WE 150060RS75000, WE 150060VS75000, WE 150060VS75000, WE 150060VS75000, WE 150060VS75000, WE 150060VS75000, WE 150060VS75000, WE 150060VS75000||11||
ON_ESD8116|On Semi 6ch 3.3V ESD diodes|ESD1, ESD5, ESD6, ESD7, ESD8|||4, 3, 3, 18, 18|||5||
DiodesInc_DT1240A-08LP3810|Diodes Incorporated 8ch 3.3V ESD diodes|ESD2, ESD4, ESD9, ESD10, ESD11|||4, 5, 17, 16, 16|||5||
ON_uESD3.3DT5G|On Semi ESD 2ch Zener series|ESD3|||5|UESD3.3DT5G||1||3V3
Header2|Header 2 pins|HDR1, HDR3, HDR4, HDR5, HDR6, HDR9, HDR10, HDR11, HDR12, HDR42, HDR43, HDR44, HDR46, HDR48, HDR49, HDR51, HDR52, HDR54, HDR56, HDR57, HDR58, HDR59, HDR61, HDR62, HDR63|||4, 4, 4, 4, 4, 5, 5, 5, 5, 3, 3, 3, 3, 18, 18, 17, 17, 17, 16, 16, 16, 16, 16, 18, 18||[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], 100mil, 100mil|25||
Header5|Header 5 pins|HDR2|||4|||1||
Header8|Header 8 pins|HDR7, HDR13, HDR53, HDR55, HDR60|||4, 5, 17, 16, 16|||5||
Header3|Header 3 pins|HDR8|||5|||1||
Header3|Header 3 pins|HDR14|||2|||1||
